
Run no: 0
101.88	107.11	109.45	114.62	113.64	104.44	96.53	112.34	99.47	104.04	104.84	100.55	96.15	108.15	103.77	106.59	109.43	97.89	102.58	101.97	107.51	104.33	107.73	103.92	104.47	98.55	105.66	98.33	101.43	106.33	113.29	109.84	112.44	112.28	102.88	105.24	108.16	104.31	109.9	113.16	113.02	112.94	106.41	97.66	116.49	109.69	113.54	103.98	108.46	105.66	124.7	111.67	110.72	100.75	112.75	98.62	110.26	106.1	100.68	105.19	
96.15	96.15	97.87	98.55	101.43	109.69	98.55	102.58	102.58	96.53	97.66	97.66	97.89	97.89	97.89	104.33	105.24	105.24	105.24	101.88	98.33	101.88	99.47	98.62	103.77	101.97	105.66	98.55	105.66	102.25	100.55	108.15	105.66	100.75	100.55	100.75	100.55	112.34	112.34	112.34	106.33	106.33	106.33	104.84	100.68	100.68	124.7	104.44	104.44	104.44	105.19	108.46	108.16	108.16	108.16	107.73	102.88	107.73	102.88	106.1	
97.87	92.26	96.15	96.15	96.15	98.55	98.55	98.93	101.43	109.69	102.58	102.58	96.53	97.56	102.58	96.53	102.58	97.66	97.66	97.89	97.89	97.89	97.89	97.89	102.61	104.33	105.24	105.24	105.24	101.88	101.88	105.24	105.24	101.88	101.88	105.15	105.24	98.33	102.58	98.33	98.62	99.47	101.9	105.24	103.77	98.55	101.97	101.97	101.97	100.55	100.75	100.55	100.75	100.55	100.55	100.75	100.55	100.55	100.75	102.25	
97.87	92.26	97.87	97.87	96.15	96.15	96.15	96.15	97.65	96.15	94.15	96.15	96.15	96.15	96.15	92.34	98.55	98.55	98.93	101.43	109.69	109.69	109.69	102.58	102.58	102.58	102.58	102.58	102.58	102.58	102.58	102.58	102.58	96.53	97.56	96.53	96.53	97.66	97.66	97.66	97.89	97.89	97.89	97.89	97.89	97.89	97.89	97.89	97.89	97.89	97.89	102.61	104.33	105.24	105.24	105.15	104.33	105.24	105.24	105.24	
86.61	97.87	92.26	97.87	97.87	97.87	97.87	97.87	92.26	92.34	92.72	92.34	96.15	96.15	96.15	96.15	97.65	96.15	94.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	94.41	98.67	98.55	98.55	98.55	98.93	101.43	109.69	109.69	109.69	109.69	101.43	102.58	102.58	102.58	102.58	102.58	102.58	102.58	102.58	102.58	102.58	102.58	102.58	
86.61	86.61	86.61	97.87	92.26	97.87	97.87	97.87	97.87	97.87	92.26	97.87	97.87	92.26	97.87	92.26	92.34	92.72	92.34	92.8	92.34	97.65	94.15	96.15	95.71	94.41	96.15	96.15	94.41	96.15	94.41	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	96.15	94.41	96.15	96.15	96.15	96.15	96.15	96.15	96.15	
86.61	86.61	86.61	86.15	86.61	97.87	92.26	97.87	97.87	97.87	97.87	97.87	92.26	97.87	97.87	92.26	97.87	92.26	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	89.81	92.72	92.8	97.72	97.72	92.72	92.8	92.34	92.34	92.34	92.34	92.34	92.34	92.34	92.34	92.34	97.65	97.65	94.15	96.15	95.71	96.15	94.15	96.15	94.41	94.41	94.41	94.41	94.41	94.41	94.41	
86.61	86.61	86.61	86.15	86.61	86.61	86.61	86.61	86.61	86.15	86.61	97.87	97.87	92.26	92.26	97.87	92.26	92.26	97.87	97.87	97.87	97.87	97.87	97.87	92.26	97.87	92.26	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	92.26	97.87	92.26	97.87	97.87	97.87	97.87	97.87	92.26	97.87	97.87	97.87	97.87	97.87	97.87	97.87	92.26	97.87	97.87	
86.61	86.61	86.61	86.15	86.61	86.61	86.61	86.61	86.61	86.15	86.61	86.61	86.15	86.61	86.61	86.26	86.61	86.15	86.61	86.61	86.61	86.61	86.15	86.61	86.61	85.68	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	97.87	
86.61	86.61	86.61	86.15	86.61	86.61	86.61	86.61	86.61	86.15	86.61	86.61	86.15	86.61	86.61	86.26	86.61	86.15	86.61	86.61	86.61	86.61	86.15	86.61	86.61	86.61	86.61	86.61	86.26	86.61	86.61	86.15	86.61	86.61	86.26	86.15	86.61	86.61	86.15	86.61	86.15	86.15	86.61	86.61	86.15	86.26	86.15	86.15	86.15	86.61	86.61	86.61	86.61	86.61	86.61	78.93	85.68	85.68	97.87	97.87	
