
Run no: 0
341		430		632		
341		412		559		
341		474		4229		
341		524		4229		
341		455		4199		
341		516		4199		
76		507		4199		
76		452		4176		
76		383		473		
76		372		479		
76		358		544		
76		343		500		
76		336		504		
76		368		504		
76		358		504		
76		312		522		
76		292		522		
76		280		522		
76		202		522		
76		212		520		
76		239		520		
76		212		520		
71		89		143		
71		88		143		
71		85		145		
71		84		145		
71		75		81		
71		76		104		
71		76		104		
71		77		111		
71		78		111		

Run no: 1
337		425		586		
337		461		3618		
337		745		4973		
337		1020		4973		
94		1036		4973		
94		1565		4973		
94		2684		4973		
94		1830		4973		
88		1599		4918		
75		599		4794		
75		651		4794		
75		904		4799		
75		887		4794		
65		103		234		
65		82		99		
65		85		108		
65		86		108		
65		86		108		
65		86		108		
65		83		102		
65		83		104		
65		81		104		
65		82		104		
65		84		104		
65		84		104		
65		90		410		
65		91		410		
65		92		410		
65		92		410		
65		104		410		
65		109		410		

Run no: 2
345		456		623		
104		439		673		
104		488		4357		
73		423		637		
73		438		710		
73		396		717		
73		503		4140		
73		587		4140		
73		605		3910		
73		568		3908		
73		510		3908		
73		483		3907		
73		478		3907		
73		491		3907		
73		425		3900		
73		424		3900		
73		445		3891		
73		358		3891		
73		365		3577		
73		508		3577		
73		630		3577		
73		843		3577		
73		731		3577		
65		768		3564		
65		1344		3564		
65		2491		3564		
65		2250		3564		
65		1842		3635		
65		1085		3635		
65		1647		3635		
65		1993		3635		

Run no: 3
347		434		646		
347		409		503		
347		415		590		
93		388		532		
88		366		646		
88		327		433		
88		372		4466		
88		306		433		
80		317		391		
80		350		391		
80		341		391		
80		342		391		
80		336		391		
80		368		3683		
80		348		3683		
80		402		3683		
68		227		3578		
68		252		3578		
63		319		3578		
63		505		3578		
63		346		3550		
63		376		3550		
63		413		3354		
63		676		3354		
63		833		3354		
63		1041		3354		
63		1567		3354		
63		724		3309		
63		674		3309		
63		943		3309		
63		405		3309		

Run no: 4
339		426		577		
339		415		578		
83		388		514		
83		393		534		
83		387		536		
83		362		534		
83		343		490		
83		307		493		
74		254		496		
74		195		496		
74		138		499		
74		84		122		
74		86		142		
74		86		135		
74		89		135		
74		93		156		
74		100		232		
74		94		123		
74		87		123		
74		88		123		
74		89		123		
74		93		142		
74		91		142		
74		95		142		
74		96		165		
74		93		145		
74		96		145		
74		100		157		
74		98		157		
74		91		149		
74		92		149		

Run no: 5
338		427		591		
73		403		591		
73		373		440		
73		341		436		
73		305		436		
73		256		436		
73		355		4126		
73		374		4126		
73		417		4068		
73		470		4068		
73		328		3843		
73		310		3843		
73		351		3842		
73		439		3740		
73		133		3602		
73		133		3602		
73		193		3602		
73		311		3602		
73		369		3602		
73		546		3602		
73		135		3547		
73		135		3547		
73		78		103		
73		79		103		
73		80		103		
73		80		103		
73		81		103		
73		83		103		
73		82		101		
73		83		101		
73		84		113		

Run no: 6
335		427		607		
335		402		676		
100		388		499		
100		441		4043		
100		412		4043		
100		290		370		
100		300		3402		
96		270		3406		
82		397		3406		
82		563		4038		
78		261		3403		
78		257		3394		
78		519		3396		
78		210		3181		
78		272		3181		
62		164		3092		
62		255		3429		
62		354		3429		
62		360		3428		
62		465		3428		
62		414		3104		
62		268		3104		
62		352		3104		
62		346		3159		
62		159		2902		
62		255		2907		
62		345		2907		
62		357		2905		
62		322		2852		
62		282		2847		
62		328		2847		

Run no: 7
350		432		815		
81		389		488		
81		384		605		
81		370		605		
81		427		4345		
81		435		4345		
81		455		4345		
81		420		4345		
81		368		4345		
81		360		4345		
81		511		4345		
81		343		559		
81		341		559		
81		341		584		
81		396		3762		
81		397		3762		
79		405		3762		
75		428		3762		
75		435		3753		
75		480		3872		
75		458		3872		
75		555		3872		
73		545		3872		
73		616		3872		
73		648		3872		
73		580		3806		
73		579		3806		
73		691		4203		
73		902		4203		
73		1056		4214		
73		740		4841		

Run no: 8
326		414		609		
326		438		3661		
326		491		4389		
326		636		4389		
82		740		4389		
82		1066		4389		
82		926		3665		
82		678		4316		
82		688		4316		
82		705		4316		
82		154		4266		
82		212		4266		
82		217		4266		
82		291		4266		
82		366		4266		
82		232		4197		
82		227		4197		
82		224		4197		
82		296		4197		
82		365		4201		
82		574		4201		
82		223		4158		
73		228		4158		
73		288		4158		
73		289		4158		
73		360		4158		
73		350		4158		
73		213		4052		
73		214		4052		
73		317		4052		
73		282		4093		

Run no: 9
326		428		604		
326		404		520		
326		450		3952		
80		440		3952		
79		431		3952		
79		334		582		
72		290		582		
71		254		585		
71		172		379		
71		101		334		
71		87		110		
71		86		135		
71		83		125		
71		75		101		
71		76		101		
71		79		101		
71		78		101		
71		80		147		
71		83		147		
71		84		147		
71		86		147		
71		88		147		
71		88		173		
71		92		173		
71		92		173		
71		93		173		
71		164		4417		
71		169		4417		
71		169		4417		
71		305		4423		
68		443		4423		

Run no: 10
324		427		638		
324		466		4615		
82		446		4615		
